286.9098299	stephanie																						
name	time	cx	cy	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10
ALS.22.3.8.#1.mp4	107	1526.79305	463.3586019	1355.519165	393.475769	1409.854614	404.9638062	1463.575317	388.8095093	1515.640381	405.2854614	1538.313843	455.6993408	1542.84021	512.3005981	1583.094971	545.3872681	1638.921265	536.3880615	1693.377686	527.9176025	1741.564941	557.2164917
ALS.22.3.8.#1.mp4	108	1483.334012	426.1945665	1347.424561	305.0682373	1363.099121	356.1635437	1396.473022	393.475769	1449.843262	391.4794006	1501.325928	397.3501282	1537.5896	435.1921997	1548.743408	487.4588928	1577.714966	529.2327271	1627.792236	540.3302002	1679.299561	526.0870361
ALS.22.3.8.#1.mp4	109	1454.935962	406.1748322	1292.008301	277.6743469	1338.42334	292.9243164	1361.98291	336.519989	1385.847656	380.0227356	1426.67041	405.5166016	1475.074097	417.2911072	1522.533325	431.4734802	1557.030396	465.8331299	1576.491089	511.5957031	1613.298096	542.8969116
ALS.22.3.8.#1.mp4	110	1390.013147	380.0160583	1181.175781	343.6687012	1238.577393	339.3890991	1285.527832	305.3222351	1337.869019	290.3196106	1382.051147	323.3986206	1404.215576	377.5990601	1444.295166	418.250061	1500.660156	432.8101807	1551.688477	458.8806763	1574.070923	510.5223389
ALS.22.3.8.#1.mp4	111	1331.656155	340.1655986	1191.138306	257.1289368	1194.51062	306.390564	1234.770752	330.1146851	1284.871094	331.0574036	1334.285645	321.79599	1383.61499	327.8240662	1424.952026	354.9072876	1453.296143	396.157196	1483.46582	436.1142578	1527.371826	457.602356
ALS.22.3.8.#1.mp4	112	1275.211304	295.6984948	1097.740112	189.8894043	1150.959717	206.8462524	1195.339478	240.0778351	1225.297729	287.2854614	1257.288208	332.297699	1308.749512	349.8757629	1363.700439	339.4374695	1419.237671	339.5296631	1458.588867	376.0469055	1477.559448	428.9632874
ALS.22.3.8.#1.mp4	113	1344.892456	347.8664347	1171.213379	287.6357727	1214.077881	313.9544067	1263.316406	319.1560974	1312.857422	309.6419373	1362.720947	312.2521362	1403.393188	340.3941956	1422.832275	386.5885925	1453.142212	426.5574036	1500.478394	434.6173706	1537.956909	405.3049316
ALS.22.3.8.#1.mp4	114	1402.455859	365.2751801	1201.100708	311.9167175	1247.434204	296.8229065	1295.040283	317.1436157	1337.258423	348.6551208	1376.838257	383.41745	1421.016479	409.0550537	1468.083252	392.7889709	1518.74939	379.7788086	1570.022949	386.0776367	1589.014648	427.09552
ALS.22.3.8.#1.mp4	115	1462.1352	413.6421475	1309.442627	366.0818787	1351.73291	397.6473694	1402.945068	388.9198914	1453.424927	373.5371704	1505.69043	367.066864	1552.920044	387.930603	1554.725586	436.8926392	1524.89978	479.679657	1503.435425	525.0232544	1537.956909	555.3486938
ALS.22.3.8.#1.mp4	116	1529.622247	460.5828044	1447.049316	344.9138794	1498.19873	349.5695801	1536.885864	382.2717896	1529.735474	431.7348328	1505.956055	478.4029236	1495.214722	528.4443359	1534.011108	552.0130005	1584.596436	538.6818848	1634.952515	539.2130127	1664.355835	575.2715454
ALS.22.3.8.#1.mp4	117	1576.890544	513.7516005	1520.522583	390.9854126	1499.189941	437.0204773	1492.234131	485.8091736	1515.867065	529.3933716	1566.112061	531.84552	1616.238403	525.4644775	1664.865479	536.6259155	1677.572632	576.7763672	1639.412598	609.843689	1593.99585	632.5496216
																							
																							
																							
																							
																							
																							
name	time	cx	cy	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10
ALS.22.3.8.#1.mp4	196	2077.47914	1361.682834	1946.418335	1142.449463	1991.83728	1197.955811	2053.064453	1234.881958	2108.896729	1277.347412	2110.752441	1344.950317	2097.645996	1415.589844	2120.296875	1480.81543	2143.403076	1546.249512	2124.99707	1614.905762	2075.307861	1662.933228
ALS.22.3.8.#1.mp4	197	2072.017863	1316.61891	1952.644897	1140.581665	1983.659668	1192.60083	2033.224121	1223.510498	2088.798828	1247.580444	2121.229492	1293.377686	2112.400635	1351.912598	2098.011475	1410.741699	2117.867432	1466.713135	2140.324219	1522.551636	2132.592041	1582.619263
ALS.22.3.8.#1.mp4	198	2079.204454	1300.190335	1986.268188	1126.884766	1999.506226	1180.339966	2039.19165	1214.207886	2086.464355	1242.456543	2120.807373	1282.502686	2120.936768	1334.543213	2107.501953	1387.949219	2117.125977	1440.376587	2135.037598	1492.452148	2146.290527	1545.886597
ALS.22.3.8.#1.mp4	199	2079.512488	1298.361157	2001.211914	1100.113403	1981.570313	1153.192993	2003.193481	1201.934204	2053.743164	1226.190552	2100.707031	1255.57019	2134.301514	1299.210815	2124.016357	1354.865601	2114.227783	1410.485718	2132.126953	1464.177979	2150.026367	1517.870117
ALS.22.3.8.#1.mp4	200	2086.151177	1287.188273	1988.13623	1153.656006	2030.768799	1175.382568	2073.401367	1197.109009	2103.561523	1232.559204	2121.496338	1274.206299	2110.133057	1320.687012	2098.77002	1367.167725	2113.736816	1410.619873	2135.356445	1453.306763	2148.158447	1498.569824
ALS.22.3.8.#1.mp4	201	2085.791599	1221.870836	1973.192505	1073.342163	2031.95166	1087.343994	2090.710693	1101.345825	2126.459473	1144.53894	2113.722656	1202.97644	2099.223877	1261.614868	2087.861084	1319.97998	2112.287842	1375.225098	2136.7146	1430.470215	2135.082764	1490.476196
ALS.22.3.8.#1.mp4	202	2111.311523	1376.23626	2120.138916	1125.639526	2125.320557	1189.795898	2080.363037	1244.145996	2087.897705	1313.772461	2127.688965	1376.024048	2153.405273	1440.713989	2129.118408	1506.988525	2081.140625	1563.452026	2096.730225	1625.593872	2153.762451	1672.894531
ALS.22.3.8.#1.mp4	203	2147.000163	1572.229411	2119.516357	1375.297363	2151.983154	1422.713623	2129.276123	1480.013428	2088.950928	1529.778809	2078.421143	1590.100464	2122.109863	1630.548584	2175.684082	1665.65564	2231.064209	1697.778564	2225.995605	1758.178223	2197.348145	1815.467285
ALS.22.3.8.#1.mp4	204	2179.376587	1750.807483	2069.081299	1527.208984	2074.968262	1593.31665	2131.194092	1630.306519	2197.476318	1653.148926	2245.29248	1699.057007	2233.860596	1765.488525	2197.355713	1825.276978	2171.471436	1885.786621	2209.093506	1942.428101	2263.972168	1986.056519
ALS.22.3.8.#1.mp4	205	2218.454861	1829.88151	2151.271729	1629.313354	2216.435791	1648.067505	2238.647705	1709.282471	2214.552002	1773.389526	2188.306885	1836.66272	2169.20166	1899.903076	2216.669922	1945.511719	2274.292725	1982.551025	2296.715332	2044.252197	2262.726807	2103.725586
ALS.22.3.8.#1.mp4	206	2233.2146	2004.369482	2219.141113	1767.527954	2181.687012	1821.907349	2169.109375	1885.246582	2207.978271	1928.335693	2264.505615	1962.46167	2292.913086	2021.233154	2274.087402	2082.948242	2236.582764	2137.292725	2220.30127	2194.80127	2265.840088	2241.940186